municipio,partido,votos,porcentaje
BRAGADO,PARTIDO LIBERTARIO,1.0,0.01
CAMPANA,FUERZA PATRIA,22987.0,41.45
CAMPANA,LA LIBERTAD AVANZA,22630.0,40.81
CAMPANA,PARTIDO LIBERTARIO,2834.0,5.11
CAMPANA,SOMOS BUENOS AIRES,1915.0,3.45
CAMPANA,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,1816.0,3.27
CAMPANA,POTENCIA,597.0,1.07
CAMPANA,UNION Y LIBERTAD,508.0,0.91
CAMPANA,POLITICA OBRERA,468.0,0.84
CAMPANA,ES CON VOS ES CON NOSOTROS,357.0,0.64
CAMPANA,UNION LIBERAL,323.0,0.58
CAMPANA,VALORES REPUBLICANOS,276.0,0.49
CAMPANA,MOVIMIENTO AVANZADA SOCIALISTA,250.0,0.45
CAMPANA,CONSTRUYENDO PORVENIR,195.0,0.35
CAMPANA,PARTIDO TIEMPO DE TODOS,190.0,0.34
CAMPANA,FRENTE PATRIOTA FEDERAL,101.0,0.18
CARLOS CASARES,FUERZA PATRIA,4663.0,45.15
CARLOS CASARES,LA LIBERTAD AVANZA,3548.0,34.35
CARLOS CASARES,SOMOS BUENOS AIRES,1084.0,10.49
CARLOS CASARES,POTENCIA,583.0,5.64
CARLOS CASARES,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,110.0,1.06
CARLOS CASARES,UNION Y LIBERTAD,92.0,0.89
CARLOS CASARES,UNION LIBERAL,49.0,0.47
CARLOS CASARES,NUEVOS AIRES,37.0,0.35
CARLOS CASARES,VALORES REPUBLICANOS,33.0,0.31
CARLOS CASARES,MOVIMIENTO AVANZADA SOCIALISTA,26.0,0.25
CARLOS CASARES,ES CON VOS ES CON NOSOTROS,25.0,0.24
CARLOS CASARES,POLITICA OBRERA,24.0,0.23
CARLOS CASARES,CONSTRUYENDO PORVENIR,23.0,0.22
CARLOS CASARES,FRENTE PATRIOTA FEDERAL,15.0,0.14
CARLOS CASARES,PARTIDO TIEMPO DE TODOS,9.0,0.08
CARLOS CASARES,PARTIDO LIBERTARIO,6.0,0.05
CARLOS TEJEDOR,FUERZA PATRIA,3982.0,56.84
CARLOS TEJEDOR,LA LIBERTAD AVANZA,1623.0,23.16
CARLOS TEJEDOR,SOMOS BUENOS AIRES,1244.0,17.75
CARLOS TEJEDOR,UNION Y LIBERTAD,41.0,0.58
CARLOS TEJEDOR,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,40.0,0.57
CARLOS TEJEDOR,POTENCIA,24.0,0.34
CARLOS TEJEDOR,CONSTRUYENDO PORVENIR,10.0,0.14
CARLOS TEJEDOR,ES CON VOS ES CON NOSOTROS,7.0,0.09
CARLOS TEJEDOR,UNION LIBERAL,7.0,0.09
CARLOS TEJEDOR,VALORES REPUBLICANOS,7.0,0.09
CARLOS TEJEDOR,FRENTE PATRIOTA FEDERAL,6.0,0.08
CARLOS TEJEDOR,NUEVOS AIRES,6.0,0.08
CARLOS TEJEDOR,MOVIMIENTO AVANZADA SOCIALISTA,3.0,0.04
CARLOS TEJEDOR,PARTIDO TIEMPO DE TODOS,3.0,0.04
CARLOS TEJEDOR,POLITICA OBRERA,2.0,0.02
CARLOS TEJEDOR,PARTIDO LIBERTARIO,0.0,0.0
CASTELLI,FUERZA PATRIA,2883.0,51.36
CASTELLI,LA LIBERTAD AVANZA,1334.0,23.76
CASTELLI,SOMOS BUENOS AIRES,740.0,13.18
CASTELLI,UNION LIBERAL,525.0,9.35
CASTELLI,UNION Y LIBERTAD,41.0,0.73
CASTELLI,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,33.0,0.58
CASTELLI,POTENCIA,17.0,0.3
CASTELLI,MOVIMIENTO AVANZADA SOCIALISTA,13.0,0.23
CASTELLI,VALORES REPUBLICANOS,7.0,0.12
CASTELLI,CONSTRUYENDO PORVENIR,6.0,0.1
CASTELLI,POLITICA OBRERA,6.0,0.1
CASTELLI,FRENTE PATRIOTA FEDERAL,5.0,0.08
