municipio,partido,votos,porcentaje
BAHIA BLANCA,LA LIBERTAD AVANZA,70633.0,46.41
BAHIA BLANCA,FUERZA PATRIA,46441.0,30.51
BAHIA BLANCA,SOMOS BUENOS AIRES,13845.0,9.09
BAHIA BLANCA,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,6892.0,4.52
BAHIA BLANCA,POTENCIA,3397.0,2.23
BAHIA BLANCA,UNION Y LIBERTAD,3001.0,1.97
BAHIA BLANCA,VALORES REPUBLICANOS,2515.0,1.65
BAHIA BLANCA,POLITICA OBRERA,1913.0,1.25
BAHIA BLANCA,MOVIMIENTO AVANZADA SOCIALISTA,768.0,0.5
BAHIA BLANCA,UNION LIBERAL,758.0,0.49
BAHIA BLANCA,PARTIDO TIEMPO DE TODOS,676.0,0.44
BAHIA BLANCA,CONSTRUYENDO PORVENIR,517.0,0.33
BAHIA BLANCA,FRENTE PATRIOTA FEDERAL,441.0,0.28
BAHIA BLANCA,PARTIDO LIBERTARIO,370.0,0.24
BAHIA BLANCA,ES CON VOS ES CON NOSOTROS,15.0,0.01
BARADERO,FUERZA PATRIA,5553.0,39.34
BARADERO,LA LIBERTAD AVANZA,3223.0,22.83
BARADERO,ESP. ABIERTO PARA EL DES. Y LA INT. SOCIAL,3195.0,22.63
BARADERO,POTENCIA,961.0,6.8
BARADERO,PARTIDO LIBERTARIO,323.0,2.28
BARADERO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,307.0,2.17
BARADERO,UNION Y LIBERTAD,152.0,1.07
BARADERO,UNION LIBERAL,127.0,0.89
BARADERO,POLITICA OBRERA,68.0,0.48
BARADERO,MOVIMIENTO AVANZADA SOCIALISTA,66.0,0.46
BARADERO,ES CON VOS ES CON NOSOTROS,49.0,0.34
BARADERO,FRENTE PATRIOTA FEDERAL,28.0,0.19
BARADERO,VALORES REPUBLICANOS,22.0,0.15
BARADERO,CONSTRUYENDO PORVENIR,21.0,0.14
BARADERO,PARTIDO TIEMPO DE TODOS,20.0,0.14
BENITO JUAREZ,FUERZA PATRIA,4803.0,52.68
BENITO JUAREZ,LA LIBERTAD AVANZA,2919.0,32.02
BENITO JUAREZ,SOMOS BUENOS AIRES,926.0,10.15
BENITO JUAREZ,UNION Y LIBERTAD,174.0,1.9
BENITO JUAREZ,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,100.0,1.09
BENITO JUAREZ,POTENCIA,57.0,0.62
BENITO JUAREZ,CONSTRUYENDO PORVENIR,27.0,0.29
BENITO JUAREZ,MOVIMIENTO AVANZADA SOCIALISTA,26.0,0.28
BENITO JUAREZ,PARTIDO TIEMPO DE TODOS,25.0,0.27
BENITO JUAREZ,POLITICA OBRERA,21.0,0.23
BENITO JUAREZ,VALORES REPUBLICANOS,19.0,0.2
BENITO JUAREZ,FRENTE PATRIOTA FEDERAL,15.0,0.16
BENITO JUAREZ,PARTIDO LIBERTARIO,3.0,0.03
BENITO JUAREZ,ES CON VOS ES CON NOSOTROS,1.0,0.01
BENITO JUAREZ,UNION LIBERAL,0.0,0.0
BERAZATEGUI,FUERZA PATRIA,114134.0,60.88
BERAZATEGUI,LA LIBERTAD AVANZA,50345.0,26.85
BERAZATEGUI,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,7078.0,3.77
BERAZATEGUI,NUEVOS AIRES,6051.0,3.22
BERAZATEGUI,SOMOS BUENOS AIRES,3435.0,1.83
BERAZATEGUI,UNION Y LIBERTAD,2149.0,1.14
BERAZATEGUI,POTENCIA,1298.0,0.69
BERAZATEGUI,POLITICA OBRERA,724.0,0.38
BERAZATEGUI,UNION LIBERAL,548.0,0.29
BERAZATEGUI,MOVIMIENTO AVANZADA SOCIALISTA,503.0,0.26
BERAZATEGUI,FRENTE PATRIOTA FEDERAL,425.0,0.22
BERAZATEGUI,VALORES REPUBLICANOS,278.0,0.14
BERAZATEGUI,CONSTRUYENDO PORVENIR,238.0,0.12
BERAZATEGUI,PARTIDO TIEMPO DE TODOS,225.0,0.12
BERAZATEGUI,ES CON VOS ES CON NOSOTROS,21.0,0.01
BERAZATEGUI,PARTIDO LIBERTARIO,10.0,0.01
BERISSO,FUERZA PATRIA,26449.0,46.64
BERISSO,LA LIBERTAD AVANZA,17050.0,30.07
BERISSO,SOMOS BUENOS AIRES,4873.0,8.59
BERISSO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,3535.0,6.23
BERISSO,UNION Y LIBERTAD,1168.0,2.05
BERISSO,NUEVOS AIRES,927.0,1.63
BERISSO,POTENCIA,578.0,1.01
BERISSO,PARTIDO LIBERTARIO,450.0,0.79
BERISSO,POLITICA OBRERA,382.0,0.67
BERISSO,FRENTE PATRIOTA FEDERAL,346.0,0.61
BERISSO,MOVIMIENTO AVANZADA SOCIALISTA,300.0,0.52
BERISSO,UNION LIBERAL,224.0,0.39
BERISSO,VALORES REPUBLICANOS,137.0,0.24
BERISSO,PARTIDO TIEMPO DE TODOS,121.0,0.21
BERISSO,CONSTRUYENDO PORVENIR,117.0,0.2
BERISSO,ES CON VOS ES CON NOSOTROS,43.0,0.07
BRANDSEN,FUERZA PATRIA,6976.0,41.5
BRANDSEN,LA LIBERTAD AVANZA,5213.0,31.01
BRANDSEN,SOMOS BUENOS AIRES,2743.0,16.32
BRANDSEN,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,495.0,2.94
BRANDSEN,UNION Y LIBERTAD,466.0,2.77
BRANDSEN,POTENCIA,259.0,1.54
BRANDSEN,NUEVOS AIRES,244.0,1.45
BRANDSEN,PARTIDO LIBERTARIO,158.0,0.94
BRANDSEN,MOVIMIENTO AVANZADA SOCIALISTA,50.0,0.29
BRANDSEN,UNION LIBERAL,44.0,0.26
BRANDSEN,POLITICA OBRERA,43.0,0.25
BRANDSEN,PARTIDO TIEMPO DE TODOS,33.0,0.19
BRANDSEN,CONSTRUYENDO PORVENIR,32.0,0.19
BRANDSEN,FRENTE PATRIOTA FEDERAL,25.0,0.14
BRANDSEN,VALORES REPUBLICANOS,25.0,0.14
BRANDSEN,ES CON VOS ES CON NOSOTROS,0.0,0.0
CAPITAN SARMIENTO,LA LIBERTAD AVANZA,3766.0,44.34
CAPITAN SARMIENTO,FUERZA PATRIA,3251.0,38.27
CAPITAN SARMIENTO,ESP. ABIERTO PARA EL DES. Y LA INT. SOCIAL,676.0,7.95
